epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,15.2306,0.86565,5.71358,1.00122,0.00215,0.66667,0.02251,0.00377,0.58811,3.9076,0.85048,2.858e-05,2.858e-05,2.858e-05
2,137.974,0.8835,5.42171,0.88965,0.00214,0.66667,0.01249,0.00325,0.62264,3.87543,0.85131,6.43764e-05,6.43764e-05,6.43764e-05
3,138.542,0.86443,5.8942,0.96821,0.00216,0.66667,0.00875,0.00307,0.61346,3.85471,0.84262,9.16846e-05,9.16846e-05,9.16846e-05
4,139.143,0.93955,5.37618,0.88402,0.00214,0.66667,0.00543,0.0035,0.56987,3.67342,0.7731,0.000110505,0.000110505,0.000110505
5,139.726,0.86868,4.99071,0.87212,0.00217,0.66667,0.00645,0.00528,0.52473,3.66891,0.76098,0.000120836,0.000120836,0.000120836
6,140.289,0.78087,4.38972,0.91074,0.00219,0.66667,0.00242,0.00218,0.45643,3.66079,0.74973,0.00012268,0.00012268,0.00012268
7,140.839,0.65597,4.41473,0.82631,0.00334,1,0.00436,0.00336,0.42104,3.6114,0.72944,0.000116035,0.000116035,0.000116035
8,141.405,0.71285,4.31341,0.80578,0.0022,0.66667,0.00328,0.00209,0.42156,3.5838,0.73095,0.000100902,0.000100902,0.000100902
9,141.947,0.97628,4.59776,0.95049,0.0022,0.66667,0.00328,0.00209,0.42156,3.5838,0.73095,7.72803e-05,7.72803e-05,7.72803e-05
10,142.495,1.03048,4.60544,0.80774,0.00223,0.66667,0.00303,0.00216,0.45206,3.53008,0.73977,4.51707e-05,4.51707e-05,4.51707e-05
